nazwa_stacji;kod_stacji;kod_9-znakowy;data_od;data_do;rodzaj_stacji;rząd_danych_w_CBDH;długość_geogr.;szerokość_geogr.;wysokość_[m_npm]
Ustka;115;354160115;03.11.1997;;synoptyczna;synop;16°51'15'';54°35'18'';3
Warszawa;375;352200375;01.01.1966;;synoptyczna;synop;20°57'40'';52°09'46'';106
Wieluń;455;351180455;26.03.1981;;synoptyczna;synop;18°33'24'';51°12'37'';199
Włodawa;497;351230497;16.11.1977;;synoptyczna;synop;23°31'46'';51°33'12'';177
Wrocław;424;351160424;01.01.1966;;synoptyczna;synop;16°54'00'';51°06'12'';120
Zakopane;625;349190625;01.01.1994;;synoptyczna;synop;19°57'37'';49°17'38'';852
Zamość;595;350230595;01.03.2015;;synoptyczna;synop;23°12'20'';50°41'54'';223
Koszalin;105;354160105;01.01.1976;;synoptyczna;synop;16°09'19'';54°12'16'';33
Zgorzelec;405;351150405;02.11.2010;;synoptyczna;;15°01'31'';51°08'10'';203
Zielona Góra;400;351150400;10.11.1975;;synoptyczna;synop;15°31'29'';51°55'48'';192
Białystok;295;353230295;25.09.1970;;synoptyczna;synop;23°09'44'';53°06'26'';148
Bielsko Biała;600;349190600;28.09.2017;;synoptyczna;synop;19°00'08'';49°48'24'';396
Chojnice;235;353170235;10.01.1992;;synoptyczna;synop;17°31'57'';53°42'55'';164
Częstochowa;550;350190550;01.06.1998;;synoptyczna;synop;19°05'30'';50°48'43'';293
Elbląg;160;354190160;01.04.2013;;synoptyczna;synop;19°32'37'';54°13'24'';189
Gdańsk;155;354180155;01.01.2013;;synoptyczna;synop;18°56'04'';54°20'01'';7
Gorzów;300;352150300;21.11.1974;;synoptyczna;synop;15°16'38'';52°44'28'';71
Hel;135;354180135;01.01.1966;;synoptyczna;synop;18°48'43'';54°36'13'';1
Jelenia Góra;500;350150500;01.01.1966;;synoptyczna;synop;15°47'20'';50°54'01'';342
Kalisz;435;351180435;31.10.1985;;synoptyczna;synop;18°04'51'';51°46'52'';138
Kasprowy Wierch;650;349190650;01.01.1966;;synoptyczna;synop;19°58'55'';49°13'57'';1990
Katowice;560;350190560;16.10.2007;;synoptyczna;synop;19°01'58'';50°14'26'';278
Kętrzyn;185;354210185;21.08.1970;;synoptyczna;synop;21°22'00'';54°04'02'';106
Kielce;570;350200570;01.05.1974;;synoptyczna;synop;20°41'32'';50°48'38'';260
Kłodzko;520;350160520;03.08.1976;;synoptyczna;synop;16°36'51'';50°26'13'';356
Koło;345;352180345;2009-11-10;2020-12-28;synoptyczna;synop;18°39'37'';52°11'59'';115
Kołobrzeg;100;354150100;09.04.2018;;synoptyczna;synop;15°23'20'';54°09'31'';4
Koszalin;105;354160105;01.01.1976;;synoptyczna;synop;16°09'19'';54°12'16'';33
Kozienice;488;351210488;26.03.1981;;synoptyczna;synop;21°32'37'';51°33'53'';123
Kraków;566;350190566;1966-01-01;;synoptyczna;synop;19°47'42'';50°04'40'';236
Krosno;670;349210670;1985-01-01;;synoptyczna;synop;21°46'09'';49°42'24'';330
